fl in [1,2]	 delta = 2^-52
1.0000000000000095	 0011111111110000000000000000000000000000000000000000000000101011
1.0000000000000098	 0011111111110000000000000000000000000000000000000000000000101100
1.00000000000001	 0011111111110000000000000000000000000000000000000000000000101101
1.0000000000000102	 0011111111110000000000000000000000000000000000000000000000101110
1.0000000000000104	 0011111111110000000000000000000000000000000000000000000000101111
1.0000000000000107	 0011111111110000000000000000000000000000000000000000000000110000
1.0000000000000109	 0011111111110000000000000000000000000000000000000000000000110001
1.000000000000011	 0011111111110000000000000000000000000000000000000000000000110010
1.0000000000000113	 0011111111110000000000000000000000000000000000000000000000110011
1.0000000000000115	 0011111111110000000000000000000000000000000000000000000000110100
1.0000000000000118	 0011111111110000000000000000000000000000000000000000000000110101
1.000000000000012	 0011111111110000000000000000000000000000000000000000000000110110
1.0000000000000122	 0011111111110000000000000000000000000000000000000000000000110111
1.0000000000000124	 0011111111110000000000000000000000000000000000000000000000111000
1.0000000000000127	 0011111111110000000000000000000000000000000000000000000000111001
1.0000000000000129	 0011111111110000000000000000000000000000000000000000000000111010
1.000000000000013	 0011111111110000000000000000000000000000000000000000000000111011
1.0000000000000133	 0011111111110000000000000000000000000000000000000000000000111100
1.0000000000000135	 0011111111110000000000000000000000000000000000000000000000111101
1.0000000000000138	 0011111111110000000000000000000000000000000000000000000000111110
1.000000000000014	 0011111111110000000000000000000000000000000000000000000000111111
1.0000000000000142	 0011111111110000000000000000000000000000000000000000000001000000
1.0000000000000144	 0011111111110000000000000000000000000000000000000000000001000001
1.0000000000000147	 0011111111110000000000000000000000000000000000000000000001000010
1.0000000000000149	 0011111111110000000000000000000000000000000000000000000001000011
1.000000000000015	 0011111111110000000000000000000000000000000000000000000001000100
1.0000000000000153	 0011111111110000000000000000000000000000000000000000000001000101
1.0000000000000155	 0011111111110000000000000000000000000000000000000000000001000110
1.0000000000000158	 0011111111110000000000000000000000000000000000000000000001000111
1.000000000000016	 0011111111110000000000000000000000000000000000000000000001001000
1.0000000000000162	 0011111111110000000000000000000000000000000000000000000001001001
1.0000000000000164	 0011111111110000000000000000000000000000000000000000000001001010
1.0000000000000167	 0011111111110000000000000000000000000000000000000000000001001011
1.0000000000000169	 0011111111110000000000000000000000000000000000000000000001001100
1.000000000000017	 0011111111110000000000000000000000000000000000000000000001001101
1.0000000000000173	 0011111111110000000000000000000000000000000000000000000001001110
1.0000000000000175	 0011111111110000000000000000000000000000000000000000000001001111
1.0000000000000178	 0011111111110000000000000000000000000000000000000000000001010000
1.000000000000018	 0011111111110000000000000000000000000000000000000000000001010001
1.0000000000000182	 0011111111110000000000000000000000000000000000000000000001010010
1.0000000000000184	 0011111111110000000000000000000000000000000000000000000001010011
1.0000000000000187	 0011111111110000000000000000000000000000000000000000000001010100
1.0000000000000189	 0011111111110000000000000000000000000000000000000000000001010101
1.000000000000019	 0011111111110000000000000000000000000000000000000000000001010110
1.0000000000000193	 0011111111110000000000000000000000000000000000000000000001010111
1.0000000000000195	 0011111111110000000000000000000000000000000000000000000001011000
1.0000000000000198	 0011111111110000000000000000000000000000000000000000000001011001
1.00000000000002	 0011111111110000000000000000000000000000000000000000000001011010
1.0000000000000202	 0011111111110000000000000000000000000000000000000000000001011011
1.0000000000000204	 0011111111110000000000000000000000000000000000000000000001011100
1.0000000000000207	 0011111111110000000000000000000000000000000000000000000001011101
1.0000000000000209	 0011111111110000000000000000000000000000000000000000000001011110
1.000000000000021	 0011111111110000000000000000000000000000000000000000000001011111
1.0000000000000213	 0011111111110000000000000000000000000000000000000000000001100000
1.0000000000000215	 0011111111110000000000000000000000000000000000000000000001100001
1.0000000000000218	 0011111111110000000000000000000000000000000000000000000001100010
1.000000000000022	 0011111111110000000000000000000000000000000000000000000001100011
1.0000000000000222	 0011111111110000000000000000000000000000000000000000000001100100


fl in [0.5,1]	 delta = 2^-53
0.5000000000000001	 0011111111100000000000000000000000000000000000000000000000000001
0.5000000000000002	 0011111111100000000000000000000000000000000000000000000000000010
0.5000000000000003	 0011111111100000000000000000000000000000000000000000000000000011
0.5000000000000004	 0011111111100000000000000000000000000000000000000000000000000100
0.5000000000000006	 0011111111100000000000000000000000000000000000000000000000000101
0.5000000000000007	 0011111111100000000000000000000000000000000000000000000000000110
0.5000000000000008	 0011111111100000000000000000000000000000000000000000000000000111
0.5000000000000009	 0011111111100000000000000000000000000000000000000000000000001000
0.500000000000001	 0011111111100000000000000000000000000000000000000000000000001001
0.5000000000000011	 0011111111100000000000000000000000000000000000000000000000001010
0.5000000000000012	 0011111111100000000000000000000000000000000000000000000000001011
0.5000000000000013	 0011111111100000000000000000000000000000000000000000000000001100
0.5000000000000014	 0011111111100000000000000000000000000000000000000000000000001101
0.5000000000000016	 0011111111100000000000000000000000000000000000000000000000001110
0.5000000000000017	 0011111111100000000000000000000000000000000000000000000000001111
0.5000000000000018	 0011111111100000000000000000000000000000000000000000000000010000
0.5000000000000019	 0011111111100000000000000000000000000000000000000000000000010001
0.500000000000002	 0011111111100000000000000000000000000000000000000000000000010010
0.5000000000000021	 0011111111100000000000000000000000000000000000000000000000010011
0.5000000000000022	 0011111111100000000000000000000000000000000000000000000000010100
0.5000000000000023	 0011111111100000000000000000000000000000000000000000000000010101
0.5000000000000024	 0011111111100000000000000000000000000000000000000000000000010110
0.5000000000000026	 0011111111100000000000000000000000000000000000000000000000010111
0.5000000000000027	 0011111111100000000000000000000000000000000000000000000000011000
0.5000000000000028	 0011111111100000000000000000000000000000000000000000000000011001
