x = 8^-111	 f(x) = 0.0	 g(x) = 1.6330252207878255e-201
x = 8^-112	 f(x) = 0.0	 g(x) = 2.5516019074809773e-203
x = 8^-113	 f(x) = 0.0	 g(x) = 3.986877980439027e-205
x = 8^-114	 f(x) = 0.0	 g(x) = 6.22949684443598e-207
x = 8^-115	 f(x) = 0.0	 g(x) = 9.733588819431218e-209
x = 8^-116	 f(x) = 0.0	 g(x) = 1.520873253036128e-210
x = 8^-117	 f(x) = 0.0	 g(x) = 2.37636445786895e-212
x = 8^-118	 f(x) = 0.0	 g(x) = 3.713069465420234e-214
x = 8^-119	 f(x) = 0.0	 g(x) = 5.801671039719116e-216
x = 8^-120	 f(x) = 0.0	 g(x) = 9.065110999561118e-218
x = 8^-121	 f(x) = 0.0	 g(x) = 1.4164235936814247e-219
x = 8^-122	 f(x) = 0.0	 g(x) = 2.2131618651272261e-221
x = 8^-123	 f(x) = 0.0	 g(x) = 3.458065414261291e-223
x = 8^-124	 f(x) = 0.0	 g(x) = 5.403227209783267e-225
x = 8^-125	 f(x) = 0.0	 g(x) = 8.442542515286355e-227
x = 8^-126	 f(x) = 0.0	 g(x) = 1.319147268013493e-228
x = 8^-127	 f(x) = 0.0	 g(x) = 2.0611676062710827e-230
x = 8^-128	 f(x) = 0.0	 g(x) = 3.220574384798567e-232
x = 8^-129	 f(x) = 0.0	 g(x) = 5.0321474762477604e-234
x = 8^-130	 f(x) = 0.0	 g(x) = 7.862730431637126e-236
x = 8^-131	 f(x) = 0.0	 g(x) = 1.228551629943301e-237
x = 8^-132	 f(x) = 0.0	 g(x) = 1.9196119217864076e-239
x = 8^-133	 f(x) = 0.0	 g(x) = 2.999393627791262e-241
x = 8^-134	 f(x) = 0.0	 g(x) = 4.686552543423847e-243
x = 8^-135	 f(x) = 0.0	 g(x) = 7.322738349099761e-245
x = 8^-136	 f(x) = 0.0	 g(x) = 1.1441778670468376e-246
x = 8^-137	 f(x) = 0.0	 g(x) = 1.7877779172606837e-248
x = 8^-138	 f(x) = 0.0	 g(x) = 2.7934029957198183e-250
x = 8^-139	 f(x) = 0.0	 g(x) = 4.364692180812216e-252
x = 8^-140	 f(x) = 0.0	 g(x) = 6.819831532519088e-254
x = 8^-141	 f(x) = 0.0	 g(x) = 1.0655986769561075e-255
x = 8^-142	 f(x) = 0.0	 g(x) = 1.664997932743918e-257
x = 8^-143	 f(x) = 0.0	 g(x) = 2.6015592699123717e-259
x = 8^-144	 f(x) = 0.0	 g(x) = 4.064936359238081e-261
x = 8^-145	 f(x) = 0.0	 g(x) = 6.351463061309501e-263
x = 8^-146	 f(x) = 0.0	 g(x) = 9.924161033296096e-265
x = 8^-147	 f(x) = 0.0	 g(x) = 1.550650161452515e-266
x = 8^-148	 f(x) = 0.0	 g(x) = 2.4228908772695546e-268
x = 8^-149	 f(x) = 0.0	 g(x) = 3.785766995733679e-270
x = 8^-150	 f(x) = 0.0	 g(x) = 5.915260930833874e-272
x = 8^-151	 f(x) = 0.0	 g(x) = 9.242595204427927e-274
x = 8^-152	 f(x) = 0.0	 g(x) = 1.4441555006918637e-275
x = 8^-153	 f(x) = 0.0	 g(x) = 2.256492969831037e-277
x = 8^-154	 f(x) = 0.0	 g(x) = 3.5257702653609953e-279
x = 8^-155	 f(x) = 0.0	 g(x) = 5.509016039626555e-281
x = 8^-156	 f(x) = 0.0	 g(x) = 8.607837561916492e-283
x = 8^-157	 f(x) = 0.0	 g(x) = 1.344974619049452e-284
x = 8^-158	 f(x) = 0.0	 g(x) = 2.1015228422647686e-286
x = 8^-159	 f(x) = 0.0	 g(x) = 3.283629441038701e-288
x = 8^-160	 f(x) = 0.0	 g(x) = 5.1306710016229703e-290
x = 8^-161	 f(x) = 0.0	 g(x) = 8.016673440035891e-292
x = 8^-162	 f(x) = 0.0	 g(x) = 1.252605225005608e-293
x = 8^-163	 f(x) = 0.0	 g(x) = 1.9571956640712625e-295
x = 8^-164	 f(x) = 0.0	 g(x) = 3.0581182251113476e-297
x = 8^-165	 f(x) = 0.0	 g(x) = 4.778309726736481e-299
x = 8^-166	 f(x) = 0.0	 g(x) = 7.466108948025751e-301
x = 8^-167	 f(x) = 0.0	 g(x) = 1.1665795231290236e-302
x = 8^-168	 f(x) = 0.0	 g(x) = 1.8227805048890994e-304
x = 8^-169	 f(x) = 0.0	 g(x) = 2.848094538889218e-306
x = 8^-170	 f(x) = 0.0	 g(x) = 4.450147717014403e-308
x = 8^-171	 f(x) = 0.0	 g(x) = 6.953355807835e-310
x = 8^-172	 f(x) = 0.0	 g(x) = 1.086461844974e-311
x = 8^-173	 f(x) = 0.0	 g(x) = 1.69759663277e-313
x = 8^-174	 f(x) = 0.0	 g(x) = 2.65249474e-315
x = 8^-175	 f(x) = 0.0	 g(x) = 4.144523e-317
x = 8^-176	 f(x) = 0.0	 g(x) = 6.4758e-319
x = 8^-177	 f(x) = 0.0	 g(x) = 1.012e-320
x = 8^-178	 f(x) = 0.0	 g(x) = 1.6e-322
x = 8^-179	 f(x) = 0.0	 g(x) = 0.0
x = 8^-180	 f(x) = 0.0	 g(x) = 0.0
x = 8^-181	 f(x) = 0.0	 g(x) = 0.0
x = 8^-182	 f(x) = 0.0	 g(x) = 0.0
x = 8^-183	 f(x) = 0.0	 g(x) = 0.0
x = 8^-184	 f(x) = 0.0	 g(x) = 0.0
x = 8^-185	 f(x) = 0.0	 g(x) = 0.0
x = 8^-186	 f(x) = 0.0	 g(x) = 0.0
x = 8^-187	 f(x) = 0.0	 g(x) = 0.0
x = 8^-188	 f(x) = 0.0	 g(x) = 0.0
x = 8^-189	 f(x) = 0.0	 g(x) = 0.0
x = 8^-190	 f(x) = 0.0	 g(x) = 0.0
x = 8^-191	 f(x) = 0.0	 g(x) = 0.0
x = 8^-192	 f(x) = 0.0	 g(x) = 0.0
x = 8^-193	 f(x) = 0.0	 g(x) = 0.0
x = 8^-194	 f(x) = 0.0	 g(x) = 0.0
x = 8^-195	 f(x) = 0.0	 g(x) = 0.0
x = 8^-196	 f(x) = 0.0	 g(x) = 0.0
x = 8^-197	 f(x) = 0.0	 g(x) = 0.0
x = 8^-198	 f(x) = 0.0	 g(x) = 0.0
x = 8^-199	 f(x) = 0.0	 g(x) = 0.0
x = 8^-200	 f(x) = 0.0	 g(x) = 0.0
